排名	学校名称	学校英文名	国家/地区
1	麻省理工学院	Massachusetts Institute of Technology (MIT)	美国
2	斯坦福大学	Stanford University	美国
3	加州大学伯克利分校	University of California, Berkeley (UCB)	美国
4	加州大学洛杉矶分校	University of California, Los Angeles (UCLA)	美国
5	剑桥大学	University of Cambridge	英国
6	南洋理工大学	Nanyang Technological University, Singapore (NTU)	新加坡
7	清华大学	Tsinghua University	中国
8	哈佛大学	Harvard University	美国
9	帝国理工学院	Imperial College London	英国
10	苏黎世联邦理工学院	ETH Zurich - Swiss Federal Institute of Technology	瑞士
11	牛津大学	University of Oxford	英国
12	新加坡国立大学	National University of Singapore (NUS)	新加坡
13	东京大学	The University of Tokyo	日本
14	洛桑联邦理工学院	Ecole Polytechnique Fédérale de Lausanne (EPFL)	瑞士
15	加州理工学院	California Institute of Technology (Caltech)	美国
16	佐治亚理工学院	Georgia Institute of Technology	美国
17	韩国高等科技学院	KAIST - Korea Advanced Institute of Science & Technology	韩国
18	伊利诺伊大学厄本那-香槟分校	University of Illinois at Urbana-Champaign	美国
19	东京工业大学	Tokyo Institute of Technology	日本
20	首尔国立大学	Seoul National University	韩国
21	德克萨斯大学奥斯汀分校	University of Texas at Austin	美国
22	北京大学	Peking University	中国
23	卡耐基梅隆大学	Carnegie Mellon University	美国
23	马来亚大学	Universiti Malaya (UM)	马来西亚
25	密歇根大学安娜堡分校	University of Michigan	美国
26	瑞典皇家理工学院	KTH Royal Institute of Technology	瑞典
27	国立台湾大学	National Taiwan University (NTU)	台湾
27	普林斯顿大学	Princeton University	美国
29	香港科技大学	The Hong Kong University of Science and Technology	香港
30	国立清华大学	National Tsing Hua University	台湾
30	多伦多大学	University of Toronto	加拿大
32	哥伦比亚大学	Columbia University	美国
32	香港中文大学	The Chinese University of Hong Kong (CUHK)	香港
34	香港大学	The University of Hong Kong	香港
35	墨尔本大学	The University of Melbourne	澳大利亚
36	奥尔堡大学	Aalborg University	丹麦
37	上海交通大学	Shanghai Jiao Tong University	中国
38	加州大学圣地亚哥分校	University of California, San Diego (UCSD)	美国
39	康奈尔大学	Cornell University	美国
39	代尔夫特理工大学	Delft University of Technology	荷兰
41	慕尼黑工业大学	Technical University of Munich	德国
42	普渡大学西拉法叶分校	Purdue University	美国
43	国立交通大学	National Chiao Tung University	台湾
44	澳洲国立大学	The Australian National University	澳大利亚
45	英属哥伦比亚大学	University of British Columbia	加拿大
46	南加州大学	University of Southern California	美国
46	浙江大学	Zhejiang University	中国
48	新南威尔士大学	The University of New South Wales	澳大利亚
49	印度理工学院德里分校	Indian Institute of Technology Delhi (IITD)	印度
50	米兰理工大学	Politecnico di Milano	意大利
51-100	查尔姆斯工业大学	Chalmers University of Technology	瑞典
51-100	香港城市大学	City University of Hong Kong	香港
51-100	复旦大学	Fudan University	中国
51-100	汉阳大学	Hanyang University	韩国
51-100	印度科学学院	Indian Institute of Science (IISc) Bangalore	印度
51-100	印度理工学院孟买分校	Indian Institute of Technology Bombay (IITB)	印度
51-100	印度理工学院马德拉斯分校	Indian Institute of Technology Madras (IITM)	印度
51-100	鲁汶大学（荷语）	KU Leuven	比利时
51-100	卡尔斯鲁厄理工学院	KIT, Karlsruhe Institute of Technology	德国
51-100	高丽大学	Korea University	韩国
51-100	京都大学	Kyoto University	日本
51-100	隆德大学	Lund University	瑞典
51-100	麦吉尔大学	McGill University	加拿大
51-100	莫纳什大学	Monash University	澳大利亚
51-100	国立成功大学	National Cheng Kung University (NCKU)	台湾
51-100	俄亥俄州立大学	The Ohio State University	美国
51-100	大阪大学	Osaka University	日本
51-100	宾州州立大学公园分校	Pennsylvania State University	美国
51-100	浦项科技大学	Pohang University of Science And Technology (POSTECH)	韩国
51-100	马德里理工大学	Politécnica de Madrid	西班牙
51-100	都灵理工大学	Politecnico di Torino	意大利
51-100	亚琛工业大学	RWTH Aachen University	德国
51-100	皇家墨尔本理工大学	RMIT University	澳大利亚
51-100	罗马第一大学	Sapienza University of Rome	意大利
51-100	成均馆大学	Sungkyunkwan University (SKKU)	韩国
51-100	丹麦理工大学	Technical University of Denmark	丹麦
51-100	柏林工业大学	Technische Universität Berlin (TU Berlin)	德国
51-100	德州农工大学	Texas A&M University	美国
51-100	香港理工大学	The Hong Kong Polytechnic University	香港
51-100	奥克兰大学	The University of Auckland	新西兰
51-100	曼彻斯特大学	The University of Manchester	英国
51-100	悉尼大学	The University of Sydney	澳大利亚
51-100	东北大学（日本）	Tohoku University	日本
51-100	伦敦大学学院	UCL (University College London)	英国
51-100	加泰罗尼亚理工大学	Universitat Politècnica de Catalunya	西班牙
51-100	马来西亚国民大学	Universiti Kebangsaan Malaysia (UKM)	马来西亚
51-100	马来西亚理科大学	Universiti Sains Malaysia (USM)	马来西亚
51-100	马来西亚理工大学	Universiti Teknologi Malaysia	马来西亚
51-100	加州大学圣塔芭芭拉分校	University of California, Santa Barbara (UCSB)	美国
51-100	爱丁堡大学	The University of Edinburgh	英国
51-100	马里兰大学学院公园分校	University of Maryland, College Park	美国
51-100	宾夕法尼亚大学	University of Pennsylvania	美国
51-100	中国科学技术大学	University of Science and Technology of China	中国
51-100	南安普敦大学	University of Southampton	英国
51-100	华盛顿大学	University of Washington	美国
51-100	滑铁卢大学	University of Waterloo	加拿大
51-100	威斯康辛大学麦迪逊分校	University of Wisconsin-Madison	美国
51-100	弗吉尼亚理工学院	Virginia Polytechnic Institute and State University	美国
51-100	耶鲁大学	Yale University	美国
51-100	延世大学	Yonsei University	韩国
101-150	阿尔托大学	Aalto University	芬兰
101-150	亚利桑那州立大学	Arizona State University	美国
101-150	北京理工大学	Beijing Institute of Technology	中国
101-150	波士顿大学	Boston University	美国
101-150	法国中央理工学院	CentraleSupélec	法国
101-150	杜克大学	Duke University	美国
101-150	埃因霍温理工大学	Eindhoven University of Technology	荷兰
101-150	印度理工学院坎普尔分校	Indian Institute of Technology Kanpur (IITK)	印度
101-150	印度理工学院克勒格布尔分校	Indian Institute of Technology Kharagpur (IIT-KGP)	印度
101-150	约翰霍普金斯大学	Johns Hopkins University	美国
101-150	庆应义塾大学	Keio University	日本
101-150	法赫德国王石油与矿产大学	King Fahd University of Petroleum & Minerals	沙特
101-150	伦敦大学国王学院	King's College London	英国
101-150	九州大学	Kyushu University	日本
101-150	林雪平大学	Linköping University	瑞典
101-150	密歇根州立大学	Michigan State University	美国
101-150	南京大学	Nanjing University	中国
101-150	国立中央大学	National Central University	台湾
101-150	国立中山大学	National Sun Yat-sen University	台湾
101-150	国立台湾科技大学	National Taiwan University of Science and Technology (Taiwan Tech)	台湾
101-150	雅典国立科技大学	National Technical University of Athens	希腊
101-150	纽约大学	New York University (NYU)	美国
101-150	北卡罗来纳州立大学	North Carolina State University	美国
101-150	西北大学	Northwestern University	美国
101-150	莱斯大学	Rice University	美国
101-150	以色列理工学院	Technion - Israel Institute of Technology	以色列
101-150	达姆施塔特工业大学	Technische Universität Darmstadt	德国
101-150	德累斯顿工业大学	Technische Universität Dresden	德国
101-150	维也纳工业大学	Vienna University of Technology	奥地利
101-150	阿德雷德大学	The University of Adelaide	澳大利亚
101-150	诺丁汉大学	The University of Nottingham	英国
101-150	昆士兰大学	The University of Queensland	澳大利亚
101-150	华威大学	The University of Warwick	英国
101-150	西澳大学	The University of Western Australia	澳大利亚
101-150	墨西哥国立自治大学	Universidad Nacional Autónoma de México  (UNAM)	墨西哥
101-150	圣保罗大学	Universidade de São Paulo	巴西
101-150	坎皮纳斯大学	Universidade Estadual de Campinas (Unicamp)	巴西
101-150	博洛尼亚大学	Alma Mater Studiorum - University of Bologna	意大利
101-150	马来西亚博特拉大学	Universiti Putra Malaysia (UPM)	马来西亚
