亚洲排名	学校名称	学校英文名	国家/地区	世界排名
1	新加坡国立大学	National University of Singapore	 新加坡	43
2	南洋理工大学	Nanyang Technological University	 新加坡	55
3	东京大学	University of Tokyo	 日本	57
4	清华大学	Tsinghua University	 中国	64
5	北京大学	Peking University	 中国	65
6	魏茨曼科学学院	Weizmann Institute of Science	 以色列	104
7	香港大学	University of Hong Kong	 香港	109
8	阿卜杜勒阿齐兹国王大学	King Abdulaziz University	 沙特	110
9	京都大学	Kyoto University	 日本	114
10	首尔国立大学	Seoul National University	 韩国	123
11	中国科学技术大学	University of Science and Technology of China	 中国	145
12	香港中文大学	Chinese University Hong Kong	 香港	148
12	复旦大学	Fudan University	 中国	148
14	香港科技大学	Hong Kong University of Science and Technology	 香港	152
15	上海交通大学	Shanghai Jiao Tong University	 中国	156
16	浙江大学	Zhejiang University	 中国	159
17	国立台湾大学	National Taiwan University	 台湾	166
18	特拉维夫大学	Tel Aviv University	 以色列	173
19	耶路撒冷希伯来大学	Hebrew University of Jerusalem	 以色列	181
20	阿卜杜勒国王科技大学	King Abdullah University of Science & Technology	 沙特	183
21	香港城市大学	City University Hong Kong	 香港	186
22	海峡大学	Boğaziçi University	 土耳其	190
22	南京大学	Nanjing University	 中国	190
24	大阪大学	Osaka University	 日本	194
25	韩国高等科技学院	Korea Advanced Institute of Science and Technology	 韩国	198
26	成均馆大学	Sungkyunkwan University	 韩国	200
27	东北大学（日本）	Tohoku University	 日本	204
28	香港理工大学	Hong Kong Polytechnic University	 香港	234
29	中山大学	Sun Yat-sen University	 中国	237
30	以色列理工学院	Technion Israel Institute of Technology	 以色列	239
31	名古屋大学	Nagoya University	 日本	247
32	高丽大学	Korea University	 韩国	274
33	东京工业大学	Tokyo Institute of Technology	 日本	281
34	华中科技大学	Huazhong University of Science and Technology	 中国	282
35	浦项科技大学	Pohang University of Science and Technology	 韩国	296
36	马来亚大学	University of Malaya	 马来西亚	301
37	哈尔滨工业大学	Harbin Institute of Technology	 中国	304
38	延世大学	Yonsei University	 韩国	307
39	中东理工大学	Middle East Technical University	 土耳其	314
40	九州大学	Kyushu University	 日本	316
41	武汉大学	Wuhan University	 中国	321
42	北京师范大学	Beijing Normal University	 中国	324
43	同济大学	Tongji University	 中国	327
44	南开大学	Nankai University	 中国	333
45	伊斯坦布尔理工大学	Istanbul Technical University	 土耳其	336
46	厦门大学	Xiamen University	 中国	344
47	早稻田大学	Waseda University	 日本	357
48	第比利斯国立大学	Ivane Javakhishvili Tbilisi State University	 格鲁吉亚	359
49	筑波大学	University of Tsukuba	 日本	363
50	北海道大学	Hokkaido University	 日本	370
50	国立清华大学	National Tsing Hua University	 台湾	370
52	沙特国王大学	King Saud University	 沙特	377
53	西安交通大学	Xi'an Jiaotong University	 中国	380
54	东南大学	Southeast University	 中国	382
55	蔚山国立科技学院	Ulsan National Institute of Science & Technology	 韩国	392
56	中国地质大学	China University of Geosciences	 中国	397
57	山东大学	Shandong University	 中国	400
57	华南理工大学	South China University of Technology	 中国	400
59	大连理工大学	Dalian University of Technology	 中国	429
60	中南大学	Central South University	 中国	445
61	北京航空航天大学	Beihang University	 中国	453
61	吉林大学	Jilin University	 中国	453
63	印度科学学院	Indian Institute of Science	 印度	460
64	塞浦路斯大学	University of Cyprus	 塞浦路斯	462
64	德黑兰大学	University of Tehran	 伊朗	462
66	庆应义塾大学	Keio University	 日本	466
66	天津大学	Tianjin University	 中国	466
68	中国农业大学	China Agricultural University	 中国	479
68	汉阳大学	Hanyang University	 韩国	479
68	苏州大学	Soochow University	 中国	479
68	首都大学东京	Tokyo Metropolitan University	 日本	479
72	本古里安大学	Ben-Gurion University of the Negev	 以色列	487
73	北京理工大学	Beijing Institute of Technology	 中国	491
73	毕尔坎特大学	Bilkent University	 土耳其	491
73	广岛大学	Hiroshima University	 日本	491
76	阿萨德大学	Islamic Azad University Karaj	 伊朗	497
77	玛希隆大学	Mahidol University	 泰国	509
78	华东师范大学	East China Normal University	 中国	511
79	华中师范大学	Central China Normal University	 中国	513
79	旁遮普大学（印度）	Panjab University	 印度	513
81	国立成功大学	National Cheng Kung University	 台湾	519
81	沙里夫理工大学	Sharif University of Technology	 伊朗	519
81	四川大学	Sichuan University	 中国	519
84	庆熙大学	Kyung Hee University	 韩国	526
85	国立中央大学	National Central University	 台湾	529
86	香港浸会大学	Hong Kong Baptist University	 香港	535
86	神户大学	Kobe University	 日本	535
86	兰州大学	Lanzhou University	 中国	535
89	朱拉隆功大学	Chulalongkorn University	 泰国	539
90	印度理工学院孟买分校	Indian Institute of Technology Bombay	 印度	548
90	冈山大学	Okayama University	 日本	548
92	上海大学	Shanghai University	 中国	551
93	华东理工大学	East China University of Science and Technology	 中国	553
94	庆北国立大学	Kyungpook National University	 韩国	555
95	巴伊兰大学	Bar-Ilan University	 以色列	559
95	奎德阿萨姆大学	Quaid I Azam University	 巴基斯坦	559
97	马来西亚理工大学	Universiti Teknologi Malaysia	 马来西亚	562
98	梨花女子大学	Ewha Womans University	 韩国	565
99	哈斯特帕大学	Hacettepe University	 土耳其	567
100	首尔大学	University of Seoul	 韩国	570
101	全南国立大学	Chonnam National University	 韩国	573
101	国立交通大学	National Chiao Tung University	 台湾	573
103	马来西亚理科大学	Universiti Sains Malaysia	 马来西亚	579
104	湖南大学	Hunan University	 中国	586
105	安卡拉大学	Ankara University	 土耳其	590
105	伊斯法罕理工大学	Isfahan University of Technology	 伊朗	590
107	电子科技大学	University of Electronic Science and Technology of China	 中国	597
108	蔚山大学	University of Ulsan	 韩国	601
109	中国人民大学	Renmin University of China	 中国	611
110	法赫德国王石油矿产大学	King Fahd University of Petroleum and Minerals (KFUPM)	 沙特	623
110	釜山国立大学	Pusan National University	 韩国	623
112	东京医科齿科大学	Tokyo Medical and Dental University	 日本	627
113	千叶大学	Chiba University	 日本	630
113	印度理工学院德里分校	Indian Institute of Technology Delhi	 印度	630
115	马来西亚博特拉大学	Universiti Putra Malaysia	 马来西亚	638
116	北京交通大学	Beijing Jiaotong University	 中国	645
116	全北国立大学	Chonbuk National University	 韩国	645
118	重庆大学	Chongqing University	 中国	655
119	阿米尔卡比尔理工大学	Amirkabir University of Technology (AUT)	 伊朗	661
120	东华大学	Donghua University	 中国	663
120	光州科技学院	Gwangju Institute of Science and Technology	 韩国	663
120	北京科技大学	University of Science & Technology Beijing	 中国	663
123	伊斯坦布尔大学	Istanbul University	 土耳其	668
124	印度理工学院马德拉斯分校	Indian Institute of Technology Madras	 印度	672
125	南京农业大学	Nanjing Agricultural University	 中国	673
126	贝鲁特美国大学	American University of Beirut	 黎巴嫩	680
