国内排名	学校名称	学校英文名	世界排名
1	多伦多大学	University of Toronto	20
2	英属哥伦比亚大学	University of British Columbia	27
3	麦吉尔大学	McGill University	49
4	麦克马斯特大学	McMaster University	128
5	蒙特利尔大学	University of Montreal	129
6	阿尔伯塔大学	University of Alberta	134
7	卡尔加里大学	University of Calgary	183
8	渥太华大学	University of Ottawa	208
9	滑铁卢大学	University of Waterloo	230
10	西安大略大学	Western University	267
11	维多利亚大学（加拿大）	University of Victoria	273
12	西门菲莎大学	Simon Fraser University	282
13	拉瓦尔大学	Laval University	296
14	戴尔豪斯大学	Dalhousie University	328
15	皇后大学	Queen's University	374
16	约克大学（加拿大）	York University	395
17	曼尼托巴大学	University of Manitoba	405
18	贵湖大学	University of Guelph	425
19	卡尔顿大学	Carleton University	505
20	萨斯喀彻温大学	University of Saskatchewan	539
21	魁北克大学蒙特利尔分校	Université du Québec à Montréal	552
22	舍布鲁克大学	University of Sherbrooke	607
23	纽芬兰纪念大学	Memorial University of Newfoundland	623
24	康考迪亚大学	Concordia University	645
25	瑞尔森大学	Ryerson University	818
25	里贾纳大学	University of Regina	818
27	新布伦瑞克大学	University of New Brunswick	905
28	温莎大学	University of Windsor	956
29	布鲁克大学	Brock University	990
30	湖首大学	Lakehead University	1039
31	川特大学	Trent University	1070
32	莱斯布里奇大学	University of Lethbridge	1078
33	劳里埃大学	Wilfrid Laurier University	1169
-	加拿大高等理工学院	Ecole de Technologie Superieure - Canada	-
-	加拿大皇家军事学院	Royal Military College - Canada	-
-	安大略理工大学	University of Ontario Institute Technology	-
-	爱德华王子岛大学	University of Prince Edward Island	-
