国内排名	学校名称	学校英文名	世界排名
1	哈佛大学	Harvard University	1
2	麻省理工学院	Massachusetts Institute of Technology	2
3	斯坦福大学	Stanford University	3
4	加州大学伯克利分校	University of California, Berkeley	4
5	加州理工学院	California Institute of Technology	6
6	哥伦比亚大学	Columbia University	8
7	普林斯顿大学	Princeton University	9
8	约翰霍普金斯大学	Johns Hopkins University	10
8	华盛顿大学	University of Washington	10
8	耶鲁大学	Yale University	10
11	加州大学洛杉矶分校	University of California, Los Angeles	13
12	芝加哥大学	University of Chicago	14
13	加州大学旧金山分校	University of California, San Francisco	15
14	加州大学圣地亚哥分校	University of California, San Diego	16
15	密歇根大学安娜堡分校	University of Michigan, Ann Arbor	17
16	宾夕法尼亚大学	University of Pennsylvania	19
17	杜克大学	Duke University	21
18	康奈尔大学	Cornell University	23
19	西北大学	Northwestern University	24
20	纽约大学	New York University	28
20	加州大学圣塔芭芭拉分校	University of California, Santa Barbara	28
22	威斯康辛大学麦迪逊分校	University of Wisconsin, Madison	31
23	德克萨斯大学奥斯汀分校	University of Texas, Austin	32
23	圣路易斯华盛顿大学	Washington University in St. Louis	32
25	北卡罗来纳大学教堂山分校	University of North Carolina, Chapel Hill	34
26	波士顿大学	Boston University	39
27	明尼苏达大学双城分校	University of Minnesota, Twin Cities	42
28	科罗拉多大学博尔德分校	University of Colorado, Boulder	44
29	俄亥俄州立大学	Ohio State University, Columbus	46
30	加州大学圣克鲁兹分校	University of California, Santa Cruz	47
31	匹兹堡大学	University of Pittsburgh	48
32	马里兰大学学院公园分校	University of Maryland, College Park	50
33	伊利诺伊大学厄本那-香槟分校	University of Illinois, Urbana-Champaign	51
34	洛克菲勒大学	Rockefeller University	52
34	加州大学戴维斯分校	University of California, Davis	52
36	南加州大学	University of Southern California	62
37	宾州州立大学公园分校	Pennsylvania State University, University Park	66
38	范德堡大学	Vanderbilt University	67
39	艾茉莉大学	Emory University	71
39	佐治亚理工学院	Georgia Institute of Technology	71
41	加州大学尔湾分校	University of California, Irvine	75
42	卡耐基梅隆大学	Carnegie Mellon University	77
42	亚利桑那大学	University of Arizona	77
44	密歇根州立大学	Michigan State University	81
44	莱斯大学	Rice University	81
46	布朗大学	Brown University	92
47	佛罗里达大学	University of Florida	95
48	罗格斯大学	Rutgers, The State University of New Jersey, New Brunswick	97
49	普渡大学西拉法叶分校	Purdue University, West Lafayette	103
50	弗吉尼亚大学	University of Virginia	107
51	罗切斯特大学	University of Rochester	111
52	西奈山伊坎医学院	Mount Sinai School of Medicine	115
53	德州农工大学	Texas A&M University, College Station	118
54	德克萨斯大学西南医学中心	University of Texas Southwestern Medical Center, Dallas	121
55	贝勒医学院	Baylor College of Medicine	126
55	马萨诸塞大学阿默斯特分校	University of Massachusetts, Amherst	126
57	印第安纳大学伯明顿分校	Indiana University, Bloomington	129
57	犹他大学	University of Utah	129
59	亚利桑那州立大学	Arizona State University, Tempe	134
60	加州大学河滨分校	University of California, Riverside	141
61	凯斯西储大学	Case Western Reserve University	146
62	爱荷华大学	University of Iowa	153
63	纽约州立大学石溪分校	Stony Brook University, SUNY	156
64	阿拉巴马大学伯明翰分校	University of Alabama, Birmingham	162
65	俄勒冈健康科学大学	Oregon Health & Science University	171
65	迈阿密大学	University of Miami	171
67	塔夫斯大学	Tufts University	173
68	圣母大学	University of Notre Dame	181
69	佛罗里达州立大学	Florida State University	190
70	伊利诺伊大学芝加哥分校	University of Illinois, Chicago	198
71	辛辛那提大学	University of Cincinnati	200
71	田纳西大学	University of Tennessee	200
73	马里兰大学巴尔的摩分校	University of Maryland, Baltimore	203
74	爱荷华州立大学	Iowa State University	204
75	北卡罗来纳州立大学	North Carolina State University, Raleigh	222
76	达特茅斯学院	Dartmouth College	224
77	东北大学	Northeastern University	228
78	德克萨斯大学达拉斯分校	University of Texas, Dallas	234
79	新墨西哥大学	University of New Mexico	237
