国内排名	学校名称	学校英文名	世界排名
1	清华大学	Tsinghua University	64
2	北京大学	Peking University	65
3	中国科学技术大学	University of Science and Technology of China	145
4	复旦大学	Fudan University	 148   
5	上海交通大学	Shanghai Jiao Tong University	 156   
6	浙江大学	Zhejiang University	 159   
7	南京大学	Nanjing University	 190   
8	中山大学	Sun Yat-sen University	 237   
9	华中科技大学	Huazhong University of Science and Technology	 282   
10	哈尔滨工业大学	Harbin Institute of Technology	 304   
11	武汉大学	Wuhan University	 321   
12	北京师范大学	Beijing Normal University	 324   
13	同济大学	Tongji University	327
14	南开大学	Nankai University	 333   
15	厦门大学	Xiamen University	 344   
16	西安交通大学	Xi'an Jiaotong University	 380   
17	东南大学	Southeast University	 382   
18	中国地质大学	China University of Geosciences	 397   
19	山东大学	Shandong University	 400   
19	华南理工大学	South China University of Technology	 400   
21	大连理工大学	Dalian University of Technology	 429   
22	中南大学	Central South University	 445   
23	北京航空航天大学	Beihang University	 453   
23	吉林大学	Jilin University	 453   
25	天津大学	Tianjin University	 466   
26	中国农业大学	China Agricultural University	 479   
26	苏州大学	Soochow University	 479   
28	北京理工大学	Beijing Institute of Technology	 491   
29	华东师范大学	East China Normal University	 511   
30	华中师范大学	Central China Normal University	 513   
31	四川大学	Sichuan University	 519   
32	兰州大学	Lanzhou University	 535   
33	上海大学	Shanghai University	551
34	华东理工大学	East China University of Science and Technology	 553   
35	湖南大学	Hunan University	 586   
36	电子科技大学	University of Electronic Science and Technology of China	 597   
37	中国人民大学	Renmin University of China	 611   
38	北京交通大学	Beijing Jiaotong University	 645   
39	重庆大学	Chongqing University	655
40	东华大学	Donghua University	 663   
40	北京科技大学	University of Science & Technology Beijing	 663   
42	南京农业大学	Nanjing Agricultural University	 673   
43	北京化工大学	Beijing University of Chemical Technology	 704   
44	中国海洋大学	Ocean University of China	 721   
45	西南大学（中国）	Southwest University - China	724
46	东北大学（中国）	Northeastern University - China	 731   
47	首都医科大学	Capital Medical University	 735   
47	福州大学	Fuzhou University	 735   
47	华中农业大学	Huazhong Agricultural University	 735   
50	南京航空航天大学	Nanjing University of Aeronautics and Astronautics	 748   
51	西北大学（中国）	Northwest University,  Xi'an	 750   
52	西北工业大学	Northwestern Polytechnical University	 753   
53	江南大学	Jiangnan University	 777   
54	合肥工业大学	Hefei University of Technology	 790   
